tags,authors,comments,cover,size,title,uuid
"","Jan Guillou","Ingrid Ylva blev en legend redan i sin livstid vid mitten av 1200-talet. Hon var en av flera starka änkor som styrde riket efter de blodiga segrarna mot Danmark. Om henne sades att hon var trollkunnig och att så länge hon höll sitt huvud högt skulle intet ont drabba folkungaätten. Med järnvilja fostrade hon sina söner i en skoningslös tid där den starkares rätt var den enda lag som gällde. Att just en av hennes söner till slut skulle segra i maktkampen kunde inte ha förvånat någon. Men med en hänsynslöshet som till och med skrämde hans samtid krossade Birger Magnusson maffiaväldet för all framtid. Och de lagar han stiftade om hemfrid, kyrkofrid och kvinnofrid blev rikets norm för 600 år framåt. Historien känner honom som Birger Jarl, Stockholms grundare och Sveriges skapare. Men sagan om Birger är mycket större än så. Arn Magnusson må ha varit ett helgon. Det var sannerligen inte Birger. Men han var en segrare som inte vek undan för moraliska eller praktiska hinder på sin väg från yngling i Västra Götaland till riksbyggare. Arvet efter Arn är en vacker och blodig riddarsaga där marken skälver under dundrande hästhovar och skummet yr om korsfararnas fartygsbogar på väg österut. Det är också berättelsen om förlorad kärlek som en del av maktens höga pris. Detta är en fristående fortsättning på Jan Guillous trilogi om riddare Arn Magnusson. Trilogin har på bara några år sålt i över 1 miljon exemplar i Sverige. Böckerna är under utgivning i de nordiska länderna samt i Holland, Tyskland, Italien, Frankrike, Spanien och England.

### Language Notes

Text: Swedish 
","C:\Apps\Calibre\Svenska\Jan Guillou\Arvet Efter Arn (1)\cover.jpg","612494","Arvet Efter Arn","e9a283d8-73f9-4cf3-bfea-c54454c97f9d"
"Fiction, General","Leif GW Persson","Torsdagen den 30 november på Karl XII:s dödsdag rasar våldsamma demonstrationer i Stockholms city. Ungefär samtidigt mördas en lägre tjänsteman vid en anonym statlig myndighet i sin lägenhet på Östermalm. En motvillig Jarnebring svarar på larmet. När han och hans nya kollega, kriminalinspektör Anna Holt, väl kommer dit har gärningsmannen redan hunnit avvika. Det blir ingen bra mordutredning och efter en ganska kort tid läggs den ner och förvisas till grova våldsbrott som aldrig klarats upp. Samtidigt tycks den leva ett hemligt liv. Säkerhetspolisen går runt och ställer frågor om mordoffret och personerna i hans omgivning, frågor om en annan tid och ett annat liv, och betydligt allvarligare brott än det som Jarnebring och Holt försöker få någon rätsida på. Polisöverintendent Lars Martin Johansson har utnämnts till operativ chef för säkerhetspolisen. Det är nya tider nu och hög tid att städa ut alla gamla lik som hans företrädare samlat i Säpos garderober. Ett uppdrag som Johansson tar sig an med stor entusiasm och all den kompetens som han är mäktig. Men det blir inte som han tänkt sig. I stället kommer det att handla om en annan tid då de människor som Johansson möter levde andra liv. Och att Johansson, Jarnebring och Holt så där i förbigående klarar upp ett mord på en lägre tjänsteman vid en anonym statlig myndighet är en klen tröst med tanke på allt annat elände som plötsligt bryter lös.

**
","C:\Apps\Calibre\Svenska\Leif GW Persson\En Annan Tid, Ett Annat Liv (90)\cover.jpg","569398","En Annan Tid, Ett Annat Liv","565f2300-b818-4b5d-9fc7-6bb27a384b82"
"Biography & Autobiography, General","Sigrid Rausing","Sigrid Rausing var 31 när hon flyttade till en by i Estland för att under ett år studera ”avkolchosifieringen”, hur människor upplevde frigörelsen från Sovjetunionen, och hur de förstod och tänkte på Estlands historia. Hon läste socialantropologi på University College London, och detta var hennes fältarbete.Metoden kallas deltagande observation. Forskaren lever i det sammanhang som studeras, hon deltar, iakttar, skriver ner, och jämför. Sigrid Rausing kom till ett utkylt och smutsigt hus i byn, där hon också arbetade som lärare. Samhället var i förfall. Människorna fick det allt värre och kunde inte veta hur länge den akuta fattigdomen skulle bestå. Sigrid såg deras vanmakt och hopp, och deras strategier för överlevnad. Så småningom resulterade hennes arbete i doktorsavhandlingen History, memory, and identity in post-Soviet Estonia: the end of a collective farm, utgiven som bok av Oxford University Press (2004).Nu, tjugo år senare, skriver Sigrid Rausing om samma period, men nu berättar hon också om hur den påverkade henne själv. Hur hon långsamt lärde känna människorna hon studerade, och hur det kändes att vara tillbaka i ett nordiskt baltiskt landskap, så likt det hon saknade från Sverige. Estland var som ett sovjetiskt Sverige, och hon såg där hur det abstrakta begreppet bad governance sätter verkliga spår, både i landskapet, och på människorna.Anteckningar från en kolchos är en paradoxalt vacker skildring, genomsyrad av empati. Sigrid Rausing är en klok och ödmjuk iakttagare. Hennes berättelser om ester och ryssar, om villkoren i kollektivjordbruket, om sommaren och vintern, om gamla kvinnor och unga män mitt emellan två samhällssystem är historier som blir historia. Hon skriver i ett eftersinnande tempo, och scenerna som växer fram ur hennes anteckningar präglas av den äkthet som bara kan uppstå hos en betraktare med respekt för det hon ser.Översättare:Lena Karlin,Omslagsformgivare:Susanne Viborg","C:\Apps\Calibre\Svenska\Sigrid Rausing\Anteckningar fran en kolchos (178)\cover.jpg","1994659","Anteckningar från en kolchos","2741d8cf-0f6f-46db-8f45-b59eee8ccee9"
"","Nora Roberts","","C:\Apps\Calibre\Svenska\Nora Roberts\Begravt i glomska (201)\cover.jpg","679906","Begravt i glömska","7c2ab6b4-c0c2-42c2-94c5-b42dc94e8066"
"History, General","Peter Olausson","Ny bok av författaren till Faktoider och Tredje rikets myterAlla känner till mordet på ärkehertig Franz Ferdinand. Många tror att det var den främsta — kanske den enda — orsaken till att första världskriget bröt ut. Andra vet att det visserligen var den utlösande händelsen men att sammanhanget var oerhört mycket mer komplicerat än så. Vad var det egentligen som hände?Första världskriget hade inte en enda, isolerad och enkel orsak. Det hade en rad orsaker, som sedan 1800-talet utvecklats, delats upp, korsats, förstärkt och försvagat varandra.Sedan drygt trettio år tillbaka hade ett halvdussin europeiska länder delat upp Afrika mellan sig - det minskade en del spänningar på hemmaplan men byggde upp andra. Värnplikt, kapprustning och en kraftig vapenteknisk utveckling hade gett stormakterna större, bättre och dyrbarare arméer och flottor än någonsin. Efter en mängd konflikter och mindre krig hade stormakterna bildat allianser för att bli mindre sårbara; samtidigt som risken för småkrig minskade, ökade risken för ett storkrig.Under några intensiva veckor sommaren 1914 kokade en liten grupp män — de viktigaste skulle kunna rymmas i en hiss — ihop en blandning som plötsligt exploderade. Visste de vad de gjorde? Var första världskriget ett misstag eller resultatet av en noga utarbetad plan, var det en slump eller ett krig som väntade på att inträffa?Denna bok beskriver de mångfasetterade orsakerna till världens viktigaste krig, den värld som utgjorde dess förutsättning och de ledare, generaler och diplomater som fick det att inträffa.""Han visar skickligt på hur det snarare var en logisk fortsättning på det som varit innan: krigen på Balkan, kapplöpningen om kolonierna, kapprustningen på havet. Han gör det pedagogiskt, inkännande och kunnigt och boken är ett måste för alla som vill ha en bra ingång till första världskriget."" Upsala Nya Tidning ""Olausson växlar på vederhäftigt sätt mellan de många bakomliggande orsakerna och väldokumenterade beskrivningar av turerna före krigsutbrottet. Hans bok är både lärorik och skrämmande."" Sundsvalls Tidning""Den 28 juni 1914 föll de dödliga skotten i Sarajevo. De ledde till ett världskrig och till att Europas karta ritades om. Ett oundvikligt krig startat av en slump. Cirka 16 miljoner människor dog i första världskriget. Kriget fick sociala och politiska strukturer att falla och följdes av inbördeskrig, kriser och revolutioner. Det blev 1900-talets viktigaste händelse. Det hävdar Peter Olausson i sin intressanta och lärorika skildring av förspelets år, 1914.""Norrländska Socialdemokraten ""Peter Olaussons bok är en lättläst och överskådlig skildring av de politiska skeenden i stort som smått som kom att leda fram till den smältdegel kriget blev. Det omgestaltade vår värld i grunden och för alltid."" Dalademokraten""Givande läsning om varför de stred- Peter Olausson ger oss helt enkelt en repetitionskurs i epokens politiska historia. Kapitel för kapitel besöker han tidens stormakter: Österrike-Ungern, Frankrike, Storbritannien, Ryssland och Tyskland. Var och en av dem får sitt porträtt, med viktiga ledare, händelser och problem... Olaussons metod är onekligen pedagogisk och intresseväckande."" Jönköpings Posten""Jag tror att Peter Olaussons 1914, Vägen till första världskriget, kommer att bli en sådan bok som jag gång efter annan återvänder till. För att förstå hur det kunde gå så illa."" Norrbottens-Kuriren""Mellan kapitlen interfolierar han en dagbok, förd från den 28 juni till den 4 augusti 1914, det vill säga från skotten i Sarajevo till den svarta vecka då kriget bröt ut. I dagboken används en annan stiltyp, som hämtad direkt ur en journalists skrivmaskin. Det ger","C:\Apps\Calibre\Svenska\Peter Olausson\1914_ Vagen till forsta varldskrige (204)\cover.jpg","12686259","1914: Vägen till första världskriget","291cf0d9-d784-49df-ab94-1ca21090702a"
"Fiction, General","Monika Björk","Kvinnor ska finnas överallt och hela tiden - inte bara en gång om året och på vissa sidor. Det som startade som en ganska munter uppkäftighet växer till en lågande insikt. Vi börjar se sammanhangen klarare.Sex unga journalister träffas på Expressen på 70-talet och inleder en vänskap som kommer att vara i decennier. Striden mot mansväldet på redaktionen och i spalterna knyter dem samman och genom åren stöttar de varandra i kvinnokampen både hemma och på jobbet.Varje sommar träffas vännerna några dagar på en ö i skärgården. I Audrey-flickorna ser de nu mogna kvinnorna tillbaka på åren som betytt så mycket för dem. Ska de äntligen skriva sin gemensamma historia - eller finns det motsättningar mellan dem?Denna autentiska berättelse är ett vackert lapptäcke av minnen och erfarenheter, inramat av sensommarens naturupplevelser.","C:\Apps\Calibre\Svenska\Monika Bjork\Audrey-flickorna (205)\cover.jpg","953925","Audrey-flickorna","6e567fba-bca7-45e2-9454-7cfd94e235a0"
"Fiction, Horror","Lova Lovén & Katarina Emgård & Mattias Lönnebo & Elisabeth Östnäs & Love Kölle & Mikael Strömberg & Eva Holmquist & Fred Andersson & Christina Nordlander & Alexandra Nero & Ida Tellestedt & Johan Grindsäter","Rysare och skräcknoveller att läsa då mörkret sänker sig. Författarna tar dig med till skymningszonen där vampyrer, vålnader och andra monster strövar fritt. Tretton mardrömmar att sluka eller njuta en och en.Innehåll:Gastkramad av Lova LovénDödspatrullen av Katarina EmgårdKöttkvarnen av Mattias LönneboDjuptjärn av Elisabeth ÖstnäsDen sjunde av Love KölleFlockdjur av Mikael StrömbergKidnappad av Eva HolmqvistBefallaren av Fred AnderssonFöljeslagare av Christina NordlanderMarken där är sank av Alexandra NeroBoeuf Bourguignon av Ida TellestedtPappas store pojke av Johan GrindsäterHungrig skugga av Love Kölle","C:\Apps\Calibre\Svenska\Lova Loven\13 svarta sagor (222)\cover.jpg","1097704","13 svarta sagor","f999e7de-baa0-4195-961c-3d7f7520bff8"
"Mystery & Detective, Fiction, Deckare, General","Kristina Ohlsson","En liten flicka försvinner från ett x2000-tåg som just rullat in på Centralen i Stockholm. Flickans pappa blir snabbt misstänkt och alla resurser läggs på att lokalisera honom. I en annan del av Sverige lever en ung kvinna gömd, rädd för att en dag återfinnas av mannen som hon först trodde var den prins och befriare som hon sedan barnsben väntat på. Hon vet bättre än någon annan varför flickan är försvunnen, och än en gång förbereder hon sig för flykt. Polisutredningen leds av den legendariske kommissarien Alex Recht. Vid hans sida finns den ivrige kriminalinspektören Peder Rydh. Och inte minst den civilanställda utredaren Fredrika Bergman, hon som skulle bli violinist men istället hamnade inom polisen och som tvingas kämpa i motvind när hon vill leda bort utredningen från det spår man först slagit in på. Samtidigt växer fallet och kantas av utstuderad ondska. Utredningsgruppen måste snabbt komma upp i gärningsmannens tempo innan ytterligare liv går förlorade. Hur mycket tid har de egentligen på sig innan han gör sitt nästa drag? Och vem är kvinnan som likt en skugga figurerar i utredningens utkant? Är det henne man måste finna för att få den sista pusselbiten att falla på plats?

**
","C:\Apps\Calibre\Svenska\Kristina Ohlsson\Askungar (225)\cover.jpg","481060","Askungar","1dfb7249-5440-4f7d-980b-f2b80781b769"
"Fiction, General","Jonas Jonasson","Analfabeten som kunde räkna är Jonas Jonassons andra roman, efter världssuccén med Hundraåringen som klev ut genom fönstret och försvann. Analfabeten som kunde räkna av Jonas Jonasson (pocket, 2014) Sätt betyg Bloggar (0) Tipsa en vän Länka till sidan Pris: 47:- Finns i lager. Skickas inom 1-2 vardagar. Lägg i varukorg Spara som favorit Fri frakt vid beställning på minst 99 kr för privatpersoner i Sverige - Läs mer Välj format: Pocket Storpocket E-bok Inbunden Inbunden (excess) Ljudbok (cd-skiva) Ljudbok (mp3 cd) MP3-bok Hon började arbeta som femåring, blev föräldralös vid tio, överkörd vid femton. Ingenting tydde på annat än att hon skulle leva ett tag i sitt skjul i Sydafrikas största kåkstad och sedan dö, saknad av ingen. Om hon nu inte varit den hon var, men det var hon ju. Nombeko Mayeki var analfabeten som kunde räkna. Ödet tillsammans med hennes talang för henne bort från Soweto, till internationell storpolitik, till andra sidan jordklotet, till två identiskt lika och väldigt olika bröder. Under resan lyckas hon reta upp världens mest fruktade säkerhetstjänst innan hon en dag finner sig själv instängd i skåpet till en potatisbil. Där och då är världen som världen känner den hotad.

**
","C:\Apps\Calibre\Svenska\Jonas Jonasson\Analfabeten Som Kunde Rakna (233)\cover.jpg","1098254","Analfabeten Som Kunde Räkna","28d6481b-a72b-4fd9-a04d-1502e215c5e7"
"General, Fiction, Mystery & Detective","Jan Mårtenson","I nådens år 1160 går 22-kanonersskeppet ""Resande Man"" under. Slås i spillror mot klipporna utanför Landsort i novemberstormens vitskummande raseri. I det grönsbvarta djupet försvinner också Rikskanslerns skatt, oändligt kostbara mutor i guld till Polens kung för att vinna honom över på svensk sida mot den ryske björnen.I trädgården till kejsarinnan Elisabets villa på korfu ser Akilles med smärtfyllda ögon mot himlen, döende, med en pil i den sårbara hälen. Här skördar döden snart ett nytt offer.Utanför ljungande åskan och granskogen stod tät runt huset i skogen. Mannen som låg böjd över skrivbordet rörde sig inte. Men han sov inte, han var död. Och i munnen blänkte ett guldmynt.Johan Kristian Homan, antikhandlaren från Gamla stan, återkommer i en spännande, kultiverad och underhållande deckare. Ett ""måste"" för varje Homan-vän. Den spänner över tre århundranden och rör sig mellan Vättern, Östersjön och MedelhavetOmslagsformgivare: Ellen Adolfsson","C:\Apps\Calibre\Svenska\Jan Martenson\Akilles hal (300)\cover.jpg","1059578","Akilles häl","053e290c-ef09-407b-964c-bcda4ae53234"
"General, Psychology","Henrik Fexeus","När du vill få nån att falla pladask 170 tips om hur du kan bli bättre på flirt, ragg och uppvaktning.Hur många har inte gått på myten om att man måste ha deffad tvättbräda på magen eller se ut som en playboymodell för att lyckas med romantiken? Visst, ytlig uppmärksamhet räcker en liten stund, men för att verkligen lyckas få någon på fall krävs helt andra faktorer ...I Alla får ligga får både män och kvinnor verktygen för framgång i det kittlande sociala spel som vi kallar flirt och raggning. Med sina unika kunskaper i ickeverbal kommunikation, social manipulation och påverkan, har Henrik Fexeus listat 170 konkreta och praktiska tips.Med mycket humor och glimt i ögat beskriver Henrik flirtens väg till dejt i tre steg: attraktion, relation och förförelse. Boken är helt befriad från slitna raggningsfraser och uppvaktningsknep. Den stora hemligheten är istället inställning och attityd. Och när du väl lärt dig det har du förmågor som inget silikon eller gymkort i världen kan konkurrera med.Boken hjälper dig inte nödvändigtvis att bli kär eller att hitta Den rätta, men den ger garanterat ett större urval att välja bland. Och du kommer att ha roligare medan du letar. För är kul att flirta. Det är samma sak som att vara intressant, lekfull, charmig, äventyrlig, rykande sexig och populär. En bra flirt får dessutom andra att må bra.Se boken som en god vän som diskret viskar förslag i örat när du blir rådvill. Som Henrik Fexeus själv skriver: ""Ta med dig 3-5 tips varje gång du går utanför dörren och du kommer att få ett mer spännande liv än det någonsin varit tidigare""","C:\Apps\Calibre\Svenska\Henrik Fexeus\Alla far ligga (302)\cover.jpg","1307950","Alla får ligga","cc5d36ea-4fbe-4f4f-9829-bd3eae98ffe1"
"","Ebba Mörner & Erina Stene","","C:\Apps\Calibre\Svenska\Ebba Morner\Allra finaste du (362)\cover.jpg","876784","Allra finaste du","1a9e9806-87f3-4236-a9d7-128df70b4a0e"
"Thrillers, Fiction, Crime","Dag Öhrlund","Den framgångsrike författaren Tristan Heckscher befinner sig i sin  skrivstuga på Österlen. Hans förra roman blev en dundersuccé och nu  sliter han med uppföljaren. Det går trögt. Hans äktenskap knakar i  fogarna och han sover allt oftare över i stugan. Ofta delar han en  flaska whisky med sin granne, den tjurige kriminalkommissarien Ewert  Truut. Truuts karriär har gått i baklås efter ett misslyckat fall i  Stockholm och han är förvisad till skånska landsbygden där han just nu  sliter med ett mordfall där offret blivit halshuggetEn dag får Tristan ett beundrarmejl från Therése, en läsare. Efter en  tids mejlande träffas de och inleder ett sexuellt förhållande. Samtidigt  börjar Tristan känna sig iakttagen. Han hittar hjulspår utanför sin  skrivarstuga och tycker sig skymta någon utanför familjens hem.   Den intensiva Therése blir snart mer krävande och situationen börjar  glida Tristan ur händerna. Sakta går det upp för honom att detta inte är  någon vanlig otrohetsaffär   Besökaren är en psykologisk spänningsroman. Med säker hand  skapar Dag Öhrlund trovärdiga karaktärer och bygger upp en krypande,  obehaglig stämning där en vanlig människas snedsteg obevekligt leder mot  katastrofen.  Dag Öhrlund är en författare, journalist och fotograf med en lång rad  böcker bakom sig. Mest känd har han blivit genom författarduon Buthler  &amp; Öhrlund och succéböckerna om psykopaten Christopher Silfverbielke.","C:\Apps\Calibre\Svenska\Dag Ohrlund\Besokaren (376)\cover.jpg","868562","Besökaren","5ce1e27a-ccc9-4ab1-9444-ba467c597203"
"General, Fiction, Deckare, Mystery & Detective","Anne Holt","På drygt 1200 meters höjd över havet ligger Finse högfjällshotell, ett klassiskt resmål för norrmän som längtar efter lugn och ro och storslagen natur, en isolerad plats dit man endast kan ta sig med järnväg.  När tåget mellan Oslo och Bergen en iskall februaridag spårar ur i närheten av Finse råder full snöstorm. Det finns ingen annan utväg än att evakuera de över tvåhundra passagerarna till det hundraåriga hotellet och tränga ihop dem så gott det går.  Bland passagerarna finns Hanne Wilhelmsen, tidigare kommissarie vid Oslopolisen, numera rullstolsbunden efter en skottskada i ryggen. Hon har med åren blivit än mer folkskygg och försöker hålla sig så långt från mänskligt umgänge som möjligt. Men när en av gästerna hittas mördad redan första natten dras Hanne ofrivilligt in i fallet.  Det blir en kamp mellan jakten på mördaren innanför hotellets väggar och den värsta snöstormen i mannaminne rasande utanför.  Anne Holt har sedan länge en mycket stor läsekrets såväl i hemlandet Norge som i Sverige och Tyskland. Hennes förra roman, Presidentens val, blev hennes mest framgångsrika någonsin.","C:\Apps\Calibre\Svenska\Anne Holt\1222 over havet (416)\cover.jpg","400150","1222 över havet","3f77323e-f1e9-4f51-8aeb-6986220d7244"
"","Anders Jallai","","C:\Apps\Calibre\Svenska\Anders Jallai\Anton Modin - i rikets tjanst (433)\cover.jpg","5788272","Anton Modin - i rikets tjänst","7513e5d3-c204-4569-9a98-9234c10854cc"
"","Douglas Adams","","C:\Apps\Calibre\Svenska\Douglas Adams\Ajoss och tack for fisken (479)\cover.jpg","272865","Ajöss och tack för fisken","6c15a785-b782-4713-9956-6508ac757123"
"","Krister Holmquist","","C:\Apps\Calibre\Svenska\Krister Holmquist\02-KULORNA (489)\cover.jpg","1495534","02-KULORNA","31098d34-9f34-459b-baab-4ecf96dda47e"
"Svensk skönlitteratur","Daniel Akenine","Daniel Akenine är fysiker, föreläsare, skribent och före detta hjärnforskare på Karolinska Institutet. Han arbetar idag som teknik- och säkerhetschef för Microsoft och är en av Sveriges främsta experter på IT-arkitektur. Rättigheterna för 11 gram sanning såldes till USA redan innan första svenska upplagan kom i tryck.","C:\Apps\Calibre\Svenska\Daniel Akenine\11 gram sanning (491)\cover.jpg","1063540","11 gram sanning","4ffba72f-75ba-45ca-9301-cd577e2aaa39"
"Social Science, Sociology, General","Gunnar Wall","Det började som en vanlig solig tisdagsmorgon på USA:s östkust. Men under några timmar förvandlades vardagen till ett fasansfullt inferno för många tusen personer.11 september blev ett datum som kom att förknippas med tidernas mest sensationella terrordåd. Nu har tio år gått. Vissa delar av mardrömmen har vi börjat glömma. Andra inslag i det som hände fick vi inte veta något om då.Författaren Gunnar Wall har gått tillbaka och kartlagt det kusliga förloppet, steg för steg. Han har också undersökt ett delvis okänt internationellt maktspel som förklarar vad som skedde före, under och efter 11 september. Sanningen är i stora stycken förbluffande: attentatet kom inte alls som en blixt från en klar himmel. Det fanns många som försökte förhindra det. Men i Vita huset blundade man envist och till synes systematiskt – tills det var för sent.Gunnar Wall har skrivit flera bästsäljande böcker om brottslighet, makt och politiska hemligheter. Han avslutar sin dramatiska genomgång av 11 september med ett kapitel om terror genom tiderna.","C:\Apps\Calibre\Svenska\Gunnar Wall\11 september och andra terrordad ge (499)\cover.jpg","1464520","11 september och andra terrordåd genom historien","f305507f-3716-4a54-92a5-0ea06812c45f"
"","Jonas Gardell","De är en sorts familj: ärkefjollan Paul, Lars-Åke och Seppo, Reine med sitt plågade förflutna på den lilla bohuslänska ön, den vackre Bengt som är filmstjärna i vardande. Varje år firar de jul hos Paul, det är där Benjamin och Rasmus träffar varandra och blir kära. Allt ska de offra för kärleken. De älskar varandra så mycket. Världen och framtiden tillhör dem. Och det är då som sjukdomen kommer till staden. Bögpesten. Den nya digerdöden. De är alla så unga. En efter en skall de dö. Det som berättas i den här historien har hänt. Allt är sant. Jag var en av dem som överlevde. Det här är min och mina vänners historia. Det här är andra delen i romansviten Torka aldrig tårar utan handskar. Den första delen utkom i augusti 2012 och blev en stor säljsuccé som hyllats av en enig kritikerkår. ""Min känsla, redan nu, är att Gardell skriver modern svensk litteraturhistoria."" Jens Liljestrand, DN ""Det är en extremt bra början och det är svensk historia, ett utvandrarepos."" Ulrika Milles, SVT ""Jag är imponerad och tacksam."" Kristoffer Folkhammar, Aftonbladet

**
","C:\Apps\Calibre\Svenska\Jonas Gardell\(2) (Torka Aldrig Tarar Utan Handsk (572)\cover.jpg","437266","(2) (Torka Aldrig Tårar Utan Handskar)","e43b43a9-0ca6-4788-9595-b987e992ffc0"
"Fiction, General","Per Olov Enquist","Liksom Strindberg skrev om sitt liv i tredje person, i Tjänstekvinnans son, skriver PO Enquist om sig själv som &quot;honom&quot;, den faderlöse lärarinnpajken från Hjoggböle, tidig medlem i nykterhetsorganisationen Hoppets här och lovande höjdhoppare. Han, som mest satt ensam och ritade kartor, förvånades senare över hur lilla Hjoggböle fick lika många författare som spenar på ett kojuver. Han, vars barndoms värld inte sträckte sig längre än till Bureå, skulle komma att resa och leva en stor del av sitt liv utomlands. Berlin, New York, Paris, Köpenhamn. Pjäsen Tribadernas natt förde honom ända till Broadway. Men mitt i framgången en framväxande personlig kris. Som författare ett stort internationellt genombrott. Men när allting gick så bra, hur kunde det gå så illa. Ett annat liv är den dramatiska historien om detta. Den är en memoarbok som med humor, värme och nyfikenhet beskriver ett livsöde som format ett av vår tids stora författarskap.","C:\Apps\Calibre\Svenska\Per Olov Enquist\Ett annat liv (1340)\cover.jpg","603174","Ett annat liv","6911f8e2-f755-423d-a942-5a914a9bdcf6"
"","Åsne Seierstad","Stjärnreportern Åsne Seierstad skriver om Breivik. Det var ingen främmande terrorgrupp som låg bakom den största attacken på Norge i fredstid, utan en ung man från Oslo. Ända sedan den 22 juli 2011 har Norge försökt att förstå vad som drev massmördaren. Med hjälp av unika källor tecknar Åsne Seierstad bilden av en man som i många år försökte passa in i samhällets ramar, men som till slut krossade dem på det mest brutala sätt. Det är här också berättelsen om de drabbade. Två systrar från Nesodden som hade glatt sig åt AUF:s sommarläger på Utøya, årets höjdpunkt. Och ett killgäng från Troms som rest söderut med samma mål. Bara några av dem skulle komma hem igen. Den prisbelönta författaren Åsne Seierstad har tidigare rapporterat från krig och konflikter världen över. Den 22 juli 2011 kom terrorn till hennes eget land. En av oss är den första bok hon skriver om Norge.

**
","C:\Apps\Calibre\Svenska\Asne Seierstad\En Av Oss _ En Berattelse Om Norge (1368)\cover.jpg","1026831","En Av Oss : En Berattelse Om Norge (Av Asne Seierstad) [Imported] [Paperback] (Swedish)","a6a8b1c0-493e-4d21-ab95-e41e1ca647fe"
"Fiction, Mystery & Detective, General","Claes Ericson","En blodig revolution, en fängslad tsarfamilj och ett ovärderligt Fabergéägg ligger till grund för denna spännande historia där samtiden och det förflutna vävs samman i jakten på en försvunnen hemlighet.   Moskva, sommaren 2013: Svensken Astor Kragh är på besök hos sina ryska släktingar för att begrava sin mor. När han går igenom hennes tillhörigheter hittar han ett brev som väcker frågor om hans eget förflutna. Det visar sig att han är släkt med en okänd hjälte som stred på den vita sidan under inbördeskriget – en hjälte med en märklig historia som inbegriper ett av Fabergés kejserliga ägg, försvunnet sedan ett sekel. När Astor fortsätter sökandet med hjälp av den unga forskaren Anja framkommer det att de inte är ensamma. Någon som är redo att gå över lik för att nå sina mål letar efter samma ägg. Sankt Petersburg, sommaren 1918: Inbördeskriget har skapat oro och kaos, tsarfamiljen hålls i husarrest och i staden råder revolutionär feberyra. Den plikttrogne banktjänstemannen Ivan Skuratov dras ofrivilligt med i den historiska utvecklingen när han tvingas lämna staden för en dramatisk resa långt in i Sibirien. I takt med att han tvingas allt längre österut tappar han sina ideal.   Av det femtiotal ägg som hovleverantör Peter Carl Fabergé tillverkade åt tsarerna Aleksandr III och Nikolaj II har åtta gått förlorade, däribland det 19:e – ett av de största och mest värdefulla. Trots att många ägnat stor möda åt att hitta ägget är det fortfarande försvunnet. Det 19:e Fabergéägget följer i allt väsentligt skeendena under den ryska revolutionen och det efterföljande inbördeskriget. De allra flesta historiska personer, händelser och platser som skildras i boken är verkliga.   Claes Ericson är förläggare och författare. Under de senaste 15 åren har han rest fram och tillbaka till Ryssland för att arbeta med investeringar och affärsutveckling. Senast var han aktuell med boken Oligarkerna – Om snabba pengar och förgänglig makt i kapitalismens Ryssland, och han har tidigare skrivit Sovjetunionens roliga historia och Ryssland nu. Det 19:e Fabergéägget är Ericsons romandebut.","C:\Apps\Calibre\Svenska\Claes Ericson\Det 19_e Fabergeagget (1443)\cover.jpg","1205352","Det 19:e Fabergéägget","fbf81783-19f8-4f05-80d0-b95a31937edc"
